feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
sentiment_only_finbert,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.5307017543859649,0.570281124497992,0.570281124497992,0.570281124497992,0.5461556370409173,0.053372911937605495
sentiment_only_finbert,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.4567901234567901,0.34967320261437906,0.622093023255814,0.4476987447698745,0.47898459487483336,-0.011550865746730195
sentiment_only_finbert,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4644268774703557,0.3978494623655914,0.5186915887850467,0.45030425963488846,0.4535350787351171,-0.05627168493856154
sentiment_only_finbert,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.4534653465346535,0.45390070921985815,0.512,0.48120300751879697,0.45377254901960784,-0.09255087643638292
sentiment_only_finbert,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5021551724137931,0.5232974910394266,0.5983606557377049,0.5583173996175909,0.516868479880775,-0.0063073054613636955
sentiment_only_finbert,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.5175438596491229,0.5591836734693878,0.5502008032128514,0.5546558704453441,0.5357662534194749,0.028419798718357103
sentiment_only_finbert,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.49588477366255146,0.3472803347280335,0.48255813953488375,0.40389294403892945,0.5137016738260998,-0.013636855875584794
sentiment_only_finbert,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4407114624505929,0.37362637362637363,0.4766355140186916,0.4188911704312115,0.45120663167328123,-0.10801635438009885
sentiment_only_finbert,xgboost,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.4693069306930693,0.46715328467153283,0.512,0.48854961832061067,0.46434509803921564,-0.06076674010075072
sentiment_only_finbert,xgboost,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5,0.5209790209790209,0.610655737704918,0.5622641509433962,0.5149217585692996,-0.012395833510815914
sentiment_only_finbert,xgboost,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.5175438596491229,0.5617021276595745,0.5301204819277109,0.5454545454545454,0.537696680441573,0.032412919331152076
sentiment_only_finbert,xgboost,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5349794238683128,0.3794642857142857,0.4941860465116279,0.4292929292929293,0.5337820322915123,0.049414388269235256
